Prot_ID	CAMPR3_SVM	CAMPR3_RF	CAMPR3_ANN	CAMPR3_DA	iAMPred	DBAASP	SignalP	SecretomeP	TargetP	TMHMM
HmN_003038850	1	1	1	1	1	0	1	0	0	1
HmN_003043370	0	0	0	0	0	0	0	0	0	0
HmN_003033950	1	1	0	1	0	0	0	0	0	0
HmN_000804500	1	1	0	1	1	1	1	1	0	0
HmN_003028000.2	0	1	0	0	0	0	0	0	0	0
HmN_000014400	0	1	0	0	0	0	0	0	0	0
HmN_002276800	1	1	0	0	1	1	0	0	0	0
HmN_000323100	0	1	0	0	0	0	0	0	0	0
HmN_002142100	0	0	0	0	1	0	0	0	0	0
HmN_003041570	0	0	0	0	1	0	0	0	0	0
HmN_000814400	1	1	0	1	1	0	0	0	0	0
HmN_003019640	0	1	0	0	0	0	0	0	0	0
HmN_003022250	0	0	0	0	1	0	0	0	0	0
HmN_003038810	0	1	0	1	1	0	0	0	0	0
HmN_000623200	1	1	0	0	1	0	0	0	0	0
HmN_000521800	1	1	0	0	1	0	0	0	0	0
HmN_002242000	1	1	0	0	1	1	0	0	0	0
HmN_002256800	1	1	0	1	1	0	0	0	0	0
HmN_003005270	1	1	0	1	1	0	0	0	0	0
HmN_003008100	0	1	0	0	0	0	0	0	0	0
HmN_000299700	0	1	0	0	0	0	0	0	0	1
HmN_000513300	0	0	0	0	1	0	0	0	0	1
HmN_003034590	1	1	0	1	0	0	0	1	0	0
HmN_000460100	1	1	0	1	0	0	0	0	0	0
HmN_000212650	0	0	0	0	0	0	1	0	0	1
HmN_003027940	0	1	0	0	0	0	0	0	0	0
HmN_002227300	0	0	0	0	1	0	0	0	0	0
HmN_002292500	1	1	0	1	1	1	0	0	0	0
HmN_000086500	0	0	0	0	0	0	1	0	0	0
HmN_003044250	1	1	0	1	0	0	0	0	0	0
HmN_000819200	1	1	1	1	1	0	1	0	0	1
HmN_003034690	0	0	0	0	0	0	0	0	0	0
HmN_003032740	0	1	0	0	1	0	0	0	0	1
HmN_000577100	1	1	0	1	0	0	0	0	0	0
HmN_003036330	1	1	1	1	1	0	0	0	0	0
HmN_000297400	0	1	0	0	0	0	0	0	0	1
HmN_003006280	1	1	1	1	1	0	0	0	0	0
HmN_003031310	0	0	0	0	0	0	0	0	0	0
HmN_000592400	1	1	0	1	0	0	1	1	0	1
HmN_000750700	1	1	1	1	1	1	0	0	0	0
HmN_000784000	1	1	0	1	1	0	0	0	0	0
HmN_003000600	0	0	0	0	1	1	0	0	0	0
HmN_002120500	0	1	0	1	1	0	1	1	0	0
HmN_002067600	0	0	1	0	1	0	1	1	0	0
HmN_003013160	0	0	0	0	0	0	0	0	0	0
HmN_003021250	1	1	0	1	1	0	0	0	0	0
HmN_003006940	0	1	1	0	1	0	0	0	0	1
HmN_003023850	0	0	0	0	1	0	0	0	0	0
HmN_000749000	1	1	0	1	0	0	0	0	0	1
HmN_000508100	1	1	0	1	0	0	1	1	0	1
HmN_002012900	0	0	0	0	0	0	0	0	0	0
HmN_003047340	0	0	0	0	1	0	0	0	0	0
HmN_003048210	1	1	0	1	1	1	0	0	0	0
HmN_000889000.1	1	0	1	0	1	0	0	0	0	0
HmN_000889000.2	1	0	1	0	1	0	0	0	0	0
HmN_002207700	1	1	0	1	0	0	1	0	0	0
HmN_003031140	1	1	1	1	1	0	0	1	0	0
HmN_003049100	1	1	1	1	1	0	0	0	0	0
HmN_000465500	1	1	0	1	1	0	0	0	0	0
HmN_002236800.1	0	1	0	1	1	0	0	0	0	0
HmN_003029180	1	1	0	0	1	0	0	0	0	0
HmN_003012100	1	1	0	1	1	0	0	0	0	0
HmN_000056400	1	0	0	1	0	1	1	0	0	0
HmN_003045330	0	0	0	0	1	0	1	1	0	0
HmN_000921100	0	0	0	0	1	0	0	0	0	0
HmN_000381300	0	1	0	1	0	1	0	0	0	0
HmN_003030330	1	1	0	0	0	0	0	0	0	0
HmN_002034200	1	1	0	1	1	1	0	0	0	0
HmN_003033830.2	0	1	0	0	0	0	0	0	0	0
HmN_000188901	0	0	0	0	0	0	0	0	0	0
HmN_003038130	1	1	0	1	1	0	0	0	0	0
HmN_003008530	1	0	1	0	1	0	1	0	0	0
HmN_002190400	1	0	0	0	1	0	0	0	0	0
HmN_000334400	0	0	0	0	0	0	0	0	0	0
HmN_003034500	1	1	1	1	1	0	0	0	0	0
HmN_003006920	0	1	1	0	1	0	0	0	0	1
HmN_002257900	1	1	0	1	0	0	0	0	0	0
HmN_003021260	1	1	0	1	1	0	0	0	0	0
HmN_000096000.1	1	1	0	1	1	0	0	0	0	0
HmN_000675600	1	1	0	1	1	0	1	0	0	1
HmN_003027520	1	1	0	1	0	0	0	0	0	0
HmN_003007020	0	1	0	0	1	0	1	0	0	1
HmN_002064100	0	0	0	0	1	1	1	0	0	0
HmN_003003030	0	0	0	0	0	0	0	0	0	0
HmN_000206600	0	1	0	0	0	1	1	1	0	0
HmN_000808100	0	0	0	0	0	1	0	0	0	0
HmN_000165500	0	0	0	0	0	0	1	0	0	1
HmN_003043660	1	1	0	1	1	0	0	0	0	0
HmN_000082000	1	1	0	1	1	0	0	0	0	0
HmN_003041330	1	1	0	1	0	0	0	0	0	0
HmN_002211700	0	0	0	0	0	1	0	0	0	0
HmN_002190200	0	1	0	1	0	0	0	0	0	1
HmN_000327100.3	0	1	0	0	1	0	0	0	0	0
HmN_002084100	1	1	0	1	1	0	0	0	0	1
HmN_000367000.3	1	0	0	1	1	0	0	0	0	1
HmN_000443100	0	0	0	0	1	0	0	0	0	0
HmN_002137700	0	1	0	0	1	1	0	0	0	0
HmN_000447700	1	1	1	1	1	0	1	0	0	1
HmN_000868700	0	1	0	0	1	0	1	0	0	0
HmN_003030610	1	1	0	1	1	0	0	0	0	0
HmN_003037340	1	1	1	1	1	0	0	0	0	0
HmN_003007390	1	1	1	1	1	0	0	0	0	0
HmN_000991900	1	1	0	1	1	0	0	1	0	0
HmN_003002880	0	0	0	0	0	0	0	0	0	0
HmN_000326100	1	1	0	1	1	1	1	0	0	0
HmN_003020760	0	1	0	0	0	0	0	0	0	0
HmN_000319800.1	0	1	0	0	0	0	0	0	0	1
HmN_000319800.2	0	1	0	0	0	0	0	0	0	1
HmN_003003280	0	1	0	0	0	0	1	0	0	0
HmN_002002600	0	0	0	0	1	0	0	1	0	0
HmN_003031320	1	1	0	1	1	0	0	0	0	0
HmN_003021340	1	1	0	1	1	0	1	0	0	1
HmN_002205400	0	1	0	0	1	1	0	0	0	0
HmN_000295600	0	1	0	0	0	0	1	0	0	0
HmN_003049310	0	1	0	0	1	1	0	0	0	0
HmN_003033660	1	1	1	1	1	0	1	1	0	0
HmN_003035770	0	1	0	0	0	1	0	0	0	0
HmN_000511300	1	1	0	1	1	0	1	0	0	0
HmN_002220900	0	0	0	0	0	0	0	0	0	1
HmN_002043600	1	1	0	1	1	1	1	0	0	1
HmN_000314000	1	1	0	1	1	0	0	0	0	0
HmN_003048430	1	1	0	1	1	0	0	1	0	0
HmN_000592500	1	1	0	1	0	1	1	0	0	1
HmN_003027240	1	1	0	0	0	0	0	0	0	0
HmN_002025400	1	1	0	1	1	0	1	0	0	0
HmN_003049370	1	1	1	1	1	0	0	0	0	0
HmN_000784300	1	1	0	1	1	0	0	0	0	0
HmN_002048100	0	0	0	0	0	0	0	0	0	0
HmN_003042140	0	1	0	0	1	0	0	0	0	0
HmN_000844900	0	0	0	0	0	0	0	0	0	0
HmN_000473600	1	1	0	1	1	0	0	0	0	1
HmN_003038220	1	1	0	1	1	0	0	0	0	0
HmN_003028900	1	1	0	1	1	0	1	0	0	1
HmN_000350100	0	0	0	0	0	0	0	0	0	0
HmN_003037550	0	0	0	0	0	0	0	0	0	0
